Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
DNAAF10.2;DNAAF10.2.2,172302.69,331299.38,2913652.8,1.48236E7,165557.11,312918.34,660080.6,344239.78,2732533,2.187978E7,228993.31,442007.25,265026.1,3714945.2,13479.742,249268.52,3481913,9828516,981789.25,45398.945
ZNF207.1.3;ZNF207.2.2;ZNF207.2.5;ZNF207.3.2,576038.75,897406.2,853123.1,804463.75,69539.914,86759.47,334097.38,95588.59,1045416.1,1.0316398E7,499552,1070834.4,713634.9,750835.44,1455166.8,674954.1,137339.62,951245.8,209599.97,556470
DDRGK1.1;DDRGK1.1.10;DDRGK1.1.16;DDRGK1.1.2;DDRGK1.1.3;DDRGK1.1.5;DDRGK1.1.7,19194.086,34686.254,8602.39,15860.926,8915.708,383727.2,0,35284.664,6294.7876,51409.37,4693.521,17833.436,9304.174,21843.777,169723.45,37187.477,1818.2488,15065.374,5232.9907,39692.35
AGAP3.1,3584217.2,531315.56,2642437,2657403,4888232.5,24541.104,1.0784324E7,191743.94,9001064,48510.418,7357415.5,1095207.8,1.2732544E7,888295.8,5847671.5,48292.332,1.1751805E7,922644.1,1.0998866E7,606710.94
XRCC5.1.11;XRCC5.1.13,40146.93,639902.25,33622.28,63315.742,59386.438,5625355,88965.42,759491.75,120597,2079194.8,105220.93,216196.3,60343.668,238149.25,172147.9,1796798,328958.75,99317.11,31463.959,1061895
EIF2A.5;EIF2A.5.2,6467.673,3114.4197,29232.473,252124.11,5566.095,41128.44,9839.549,23685.887,19299.143,1189064,30134.635,36134.07,1148.313,111296.516,21024.238,148174.77,42936.793,109146.25,10314.077,87401.01
STAU1.12.3;STAU1.12.6,45378.84,1508866.8,295072,732129.6,8721117,1376914.2,9440779,1006286.2,559212.94,1.5729591E7,3001340.2,3923508,1492315.4,681578.9,1069414.2,189809.94,2345940,2992795.8,986425.06,4542067.5
CAMLG.1.2;CAMLG.1.3;CAMLG.1.5;CAMLG.2.3,3.7765068E7,2.1431172E7,2.056087E7,1.3296932E7,3.248917E7,5320975,2.4646102E7,1.186311E7,2.6201596E7,1.7442544E7,2.2912148E7,9946657,6.636458E7,1.8648008E7,2.9252044E7,3932846.2,1.3406782E7,1.637781E7,1.252055E7,9547544
BCKDHB.1;BCKDHB.21,1.6904254E7,1.678144E7,1.6867224E7,1.360272E7,1.9544876E7,3966839.5,2.034475E7,8113704,1.8305694E7,3.4751364E7,1.9287238E7,7948889,1.5905229E7,1.7020226E7,1.2137855E7,2963614.8,1.3354838E7,1.3748908E7,2.3458536E7,7062536.5
TEX264.12;TEX264.13.2;TEX264.13.5;TEX264.13.6;TEX264.4.4,10670.079,86.05862,13601.633,9571140,37964.285,3061668,2091343,114174.03,4722407,3.6257224E7,53477.273,565028.9,3014904.5,1.209714E7,27580.473,1181986.5,4194619.5,1.104914E7,724964.8,1536017.8
NDE1.2;NDE1.25,2444.8938,86343.05,3284.3909,13104.646,0,2496.7488,0,6930.848,247331.02,1396131.1,2318.926,6205.7974,25834.193,105703.75,1213.8937,123184.766,42511.316,4034.5725,837.5476,180.83157
CAMK1.1;CAMK1.1.2;CAMK1.4.5;CAMK1.5,1865191,408785.38,2396498.5,8593060,943320.7,1344916.2,6337210,1996666.1,4212602,3884900.8,1799123.1,1944922.6,2883380,3139462.2,1785867.1,3371546,7924240.5,3802755.2,6556403,750517.2
HLA-B.1.15;HLA-B.1.16;HLA-B.1.19;HLA-B.1.2;HLA-B.1.27;HLA-B.1.3;HLA-B.1.32;HLA-B.1.34;HLA-B.1.7;HLA-B.2,8663.661,28516.27,13786.637,8626994,78043.84,77138.65,27484.639,385425.06,31054.213,23568.184,17180.117,179975.92,189635.7,8270206,0,6112863,35004.434,4280159.5,47057.016,6916349.5
DLAT.12,3023435,337880.5,2682090,2081686.9,4726113,132106.36,4453607.5,718559.3,1679224.5,6383.678,2401308,224727.22,1063709,203783.67,2384790.8,23146.29,1259093.5,363236.7,4217114.5,1634020.8
BNIP3L.1;BNIP3L.1.11;BNIP3L.1.2;BNIP3L.1.3;BNIP3L.1.5;BNIP3L.1.6;BNIP3L.1.7;BNIP3L.2;BNIP3L.2.2;BNIP3L.2.3;BNIP3L.2.4;BNIP3L.2.5;BNIP3L.2.6;BNIP3L.2.7;BNIP3L.2.8,3684766,5416468,171569.47,1711785.9,8063820.5,2949145.5,3375716,7175554,8510454,5118248,5940901,7558110.5,6189085.5,5831198,7013644,1432350.1,3687880,3358340.8,3745348.2,4338582
HNRNPD.1.3,879.64984,0,0,47168.9,34722.266,238745.28,307617.8,0,0,2844155,0,171905.9,0,142150.55,0,324764.94,0,0,134.24857,809514.2
MAPK14.5,86288.19,61446.957,8352626.5,2.3998386E7,33682.59,3886364.5,1234343.1,89901.29,3471863,2.4836792E7,113996.41,1000974.25,1334194.1,1.2726852E7,147170.44,1455555,4071179,2.1334582E7,527003.1,44657.98
